"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"grated cheese","tomatoes","soup","blueberries","cooking oil","chili","green tea","fresh bread","low fat yogurt","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","avocado","meatballs","eggs","cereals","","","","","","","","","","","","","",""
"muffins","oil","escalope","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","green tea","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","","","","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","mineral water","eggs","gums","frozen smoothie","body spray","energy drink","","","","","","","","","","","",""
"spaghetti","meatballs","nonfat milk","hot dogs","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"french fries","champagne","brownies","green tea","","","","","","","","","","","","","","","",""
"burgers","grated cheese","spaghetti","nonfat milk","eggs","gums","chocolate","tomato juice","low fat yogurt","","","","","","","","","","",""
"frozen vegetables","milk","eggs","brownies","","","","","","","","","","","","","","","",""
"fresh tuna","red wine","spaghetti","mineral water","soup","bacon","pancakes","eggs","cooking oil","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"pepper","mineral water","avocado","pancakes","eggs","honey","green tea","chocolate","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"ham","shrimp","milk","flax seed","salmon","corn","ham","eggplant","","","","","","","","","","","",""
"spaghetti","chocolate","yogurt cake","","","","","","","","","","","","","","","","",""
"shrimp","butter","fresh bread","","","","","","","","","","","","","","","","",""
"ground beef","milk","energy bar","pancakes","honey","cereals","","","","","","","","","","","","","",""
"avocado","vegetables mix","french fries","melons","","","","","","","","","","","","","","","",""
"frozen vegetables","cake","light cream","mashed potato","","","","","","","","","","","","","","","",""
"burgers","grated cheese","mineral water","cake","","","","","","","","","","","","","","","",""
"cookies","energy drink","","","","","","","","","","","","","","","","","",""
"mineral water","whole wheat rice","rice","cooking oil","chocolate","fresh bread","low fat yogurt","","","","","","","","","","","","",""
"chicken","green tea","","","","","","","","","","","","","","","","","",""
"chocolate","cooking oil","","","","","","","","","","","","","","","","","",""
"shrimp","spaghetti","vegetables mix","pancakes","frozen smoothie","mint","","","","","","","","","","","","","",""
"grated cheese","mineral water","almonds","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","parmesan cheese","milk","eggs","cooking oil","chocolate","french fries","","","","","","","","","","","",""
"antioxydant juice","green tea","escalope","","","","","","","","","","","","","","","","",""
"turkey","ham","grated cheese","shrimp","milk","olive oil","salmon","spinach","french fries","honey","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"red wine","ground beef","spaghetti","mineral water","black tea","mayonnaise","low fat yogurt","","","","","","","","","","","","",""
"spaghetti","mineral water","milk","eggs","ketchup","green beans","fresh bread","candy bars","","","","","","","","","","","",""
"mineral water","olive oil","","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","","","","","","","","","","","","","","","","","",""
"oil","frozen smoothie","","","","","","","","","","","","","","","","","",""
"mineral water","carrots","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","eggs","burger sauce","cooking oil","french fries","brownies","","","","","","","","","","","","",""
"ground beef","spaghetti","green beans","green tea","","","","","","","","","","","","","","","",""
"turkey","red wine","","","","","","","","","","","","","","","","","",""
"parmesan cheese","spaghetti","mineral water","chocolate","napkins","low fat yogurt","","","","","","","","","","","","","",""
"grated cheese","shrimp","tomatoes","ground beef","spaghetti","avocado","meatballs","almonds","fromage blanc","frozen smoothie","pancakes","green tea","","","","","","","",""
"meatballs","milk","","","","","","","","","","","","","","","","","",""
"herb & pepper","tomatoes","mineral water","chocolate","soup","cooking oil","cereals","green tea","brownies","","","","","","","","","","",""
"spaghetti","soup","milk","butter","whole wheat rice","chocolate","low fat yogurt","green tea","","","","","","","","","","","",""
"ground beef","tomato sauce","spaghetti","mineral water","meatballs","olive oil","green tea","","","","","","","","","","","","",""
"whole wheat pasta","antioxydant juice","body spray","green tea","","","","","","","","","","","","","","","",""
"frozen vegetables","low fat yogurt","","","","","","","","","","","","","","","","","",""
"grated cheese","mineral water","chocolate","soup","milk","olive oil","light cream","chicken","","","","","","","","","","","",""
"burgers","red wine","yams","mineral water","fromage blanc","salmon","eggs","honey","tea","cottage cheese","magazines","candy bars","","","","","","","",""
"french fries","escalope","pasta","mushroom cream sauce","fresh bread","","","","","","","","","","","","","","",""
"milk","salmon","whole weat flour","chocolate","low fat yogurt","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"turkey","herb & pepper","ground beef","meatballs","pancakes","","","","","","","","","","","","","","",""
"ground beef","escalope","pancakes","","","","","","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","","","","","","","","","","","","","","","","","","",""
"burgers","milk","champagne","mushroom cream sauce","green tea","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","spaghetti","mineral water","pancakes","cake","","","","","","","","","","","","","",""
"turkey","shrimp","olive oil","chicken","eggs","extra dark chocolate","melons","fresh bread","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"fresh tuna","milk","magazines","","","","","","","","","","","","","","","","",""
"tomatoes","eggs","melons","mint","green tea","","","","","","","","","","","","","","",""
"french fries","cookies","","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","milk","honey","frozen smoothie","","","","","","","","","","","","","","",""
"cookies","brownies","","","","","","","","","","","","","","","","","",""
"escalope","green tea","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","soup","olive oil","pancakes","eggs","","","","","","","","","","","","","",""
"whole wheat rice","rice","oil","cooking oil","french fries","low fat yogurt","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","hot dogs","cauliflower","","","","","","","","","","","","","","","",""
"olive oil","antioxydant juice","french fries","cookies","hand protein bar","green tea","","","","","","","","","","","","","",""
"whole wheat pasta","spaghetti","milk","cider","eggs","","","","","","","","","","","","","","",""
"milk","energy bar","","","","","","","","","","","","","","","","","",""
"red wine","frozen vegetables","","","","","","","","","","","","","","","","","",""
"french wine","honey","whole wheat rice","","","","","","","","","","","","","","","","",""
"mineral water","cake","chicken","french fries","tomato juice","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","spaghetti","chocolate","almonds","pancakes","eggs","whole wheat rice","fresh bread","","","","","","","","","","",""
"whole wheat pasta","spaghetti","mineral water","almonds","cooking oil","chocolate","mint","","","","","","","","","","","","",""
"burgers","spaghetti","mineral water","butter","salmon","nonfat milk","magazines","mayonnaise","green tea","","","","","","","","","","",""
"cereals","protein bar","","","","","","","","","","","","","","","","","",""
"almonds","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","mineral water","strawberries","","","","","","","","","","","","","","","",""
"turkey","eggs","","","","","","","","","","","","","","","","","",""
"turkey","shrimp","pepper","spaghetti","soup","olive oil","green grapes","pancakes","honey","burger sauce","extra dark chocolate","","","","","","","","",""
"chocolate","babies food","","","","","","","","","","","","","","","","","",""
"mineral water","fresh bread","","","","","","","","","","","","","","","","","",""
"eggs","honey","","","","","","","","","","","","","","","","","",""
